CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
11637	11646	7	0.946	67.986
8260	11548	7	0.8248	353.888
11622	11632	7	0.8846	-271.949
10656	10821	7	0.8127	0.000
11582	11587	7	0.947	-135.974
11625	11642	7	0.8637	-339.940
11576	11587	7	0.9416	-203.961
11587	11594	7	0.8752	-271.950
10495	10789	7	0.8787	0.000
10495	11187	7	0.863	-419.877
10366	11541	7	0.9364	0.000
10049	11545	7	0.9287	-67.987
11637	11638	7	0.8862	-339.938
7964	8005	8	0.9489	44.026
7076	7627	8	0.9643	-14.015
7414	7964	8	0.9438	-14.016
7081	7627	8	0.9091	-31.042
6968	7414	8	0.9471	-102.068
7414	7547	8	0.942	132.079
7076	8174	8	0.9492	-28.031
7460	8070	8	0.9459	74.037
6968	7009	8	0.9689	44.026
7460	8005	8	0.9626	-14.016
8070	8121	8	0.9658	44.026
7460	7964	8	0.9474	-58.042
7627	7658	8	0.8547	44.026
7414	8036	8	0.9536	74.037
7500	7547	8	0.9728	44.026
6936	7500	8	0.9563	30.011
7076	7081	8	0.9027	17.027
7414	7500	8	0.9716	88.052
6936	7375	8	0.9332	-102.068
7964	8070	8	0.9329	132.079
7658	7663	8	0.8018	17.027
7460	7547	8	0.9649	88.052
7414	8005	8	0.9442	30.010
7009	8036	8	0.949	-72.057
7547	8036	8	0.9506	-58.042
7081	7633	8	0.9051	-14.016
6968	7041	8	0.9453	88.053
6968	7460	8	0.9613	-58.042
7547	8070	8	0.9789	-14.016
7375	7964	8	0.9284	30.010
7500	7601	8	0.9423	88.053
7081	8174	8	0.8665	-45.058
7601	7627	8	0.9411	44.026
6936	7414	8	0.9495	-58.042
8005	8070	8	0.9377	88.053
6882	8005	8	0.9358	15.995
7375	8005	8	0.9283	74.036
7414	7460	8	0.9756	44.026
7009	7547	8	0.9788	-14.015
8036	8070	8	0.9708	44.026
7627	8174	8	0.9263	-14.016
7009	8070	8	0.9746	-28.031
6882	7009	8	0.943	132.078
7375	7414	8	0.9353	44.026
